央视高清,#genre#
广西卫视,http://39.134.24.24/PLTV/88888888/224/3221225594/index.m3u8
广西卫视,http://183.207.248.71:80/cntv/live1/n-guangxistv/n-guangxistv
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
贵州卫视,http://223.110.246.69/ott.js.chinamobile.com/PLTV/4/224/3221225787/index.m3u8
贵州卫视,http://183.207.248.71:80/cntv/live1/n-guizhoustv/n-guizhoustv
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221225810/index.m3u8
海南卫视,http://39.134.24.24/PLTV/88888888/224/3221225614/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
河北卫视,http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221225840/index.m3u8
河北卫视,http://39.134.24.24/PLTV/88888888/224/3221225744/index.m3u8
河南卫视,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225815/index.m3u8
河南卫视,http://223.110.246.68/ott.js.chinamobile.com/PLTV/4/224/3221225815/index.m3u8
河南卫视,http://39.134.24.24/PLTV/88888888/224/3221225716/index.m3u8
河南卫视,http://183.207.248.71:80/cntv/live1/henanstv/henanstv
湖北卫视,http://39.134.24.24/PLTV/88888888/224/3221225674/index.m3u8
湖南卫视,http://39.134.24.24/PLTV/88888888/224/3221225616/index.m3u8
吉林卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225883/index.m3u8
吉林卫视,http://39.134.24.24/PLTV/88888888/224/3221225804/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
江苏卫视,http://39.134.24.24/PLTV/88888888/224/3221225734/index.m3u8
江西卫视,http://39.134.24.24/PLTV/88888888/224/3221225682/index.m3u8
康巴卫视,http://183.207.248.71:80/cntv/live1/SD-4000k-576P-kambatv/SD-4000k-576P-kambatv
辽宁卫视,http://39.134.24.24/PLTV/88888888/224/3221225726/index.m3u8
辽宁卫视,http://183.207.248.71:80/cntv/live1/liaoningstv/liaoningstv
南方卫视,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227005/index.m3u8
南方卫视,http://39.134.24.24/PLTV/88888888/224/3221225871/index.m3u8
内蒙古卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221225836/index.m3u8
内蒙古卫视,http://39.134.24.24/PLTV/88888888/224/3221225626/index.m3u8
内蒙古卫视,http://183.207.248.71:80/cntv/live1/n-neimenggustv/n-neimenggustv
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
内蒙卫视,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8
内蒙卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
宁夏卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8
宁夏卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221225842/index.m3u8
宁夏卫视,http://39.134.24.24/PLTV/88888888/224/3221225730/index.m3u8
宁夏卫视,http://183.207.248.71:80/cntv/live1/n-ningxiastv/n-ningxiastv
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海安多卫视,http://39.134.24.24/PLTV/88888888/224/3221225875/index.m3u8
青海安多卫视,http://183.207.248.71:80/cntv/live1/anduostv/anduostv
青海卫视,http://39.134.24.24/PLTV/88888888/224/3221225606/index.m3u8
青海卫视,http://183.207.248.71:80/cntv/live1/n-qinghaistv/n-qinghaistv
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
山东卫视,http://39.134.24.24/PLTV/88888888/224/3221225796/index.m3u8
山西卫视,http://39.134.24.24/PLTV/88888888/224/3221225738/index.m3u8
山西卫视,http://183.207.248.71:80/cntv/live1/n-shanxistv/n-shanxistv
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
陕西农林卫视,http://39.134.24.24/PLTV/88888888/224/3221225877/index.m3u8
陕西卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227022/index.m3u8
陕西卫视,http://183.207.248.71:80/cntv/live1/n-shanxi1stv/n-shanxi1stv
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
深圳卫视,http://39.134.24.24/PLTV/88888888/224/3221225590/index.m3u8
四川卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225814/index.m3u8
四川卫视,http://39.134.24.24/PLTV/88888888/224/3221225704/index.m3u8
四川卫视,http://183.207.248.71:80/cntv/live1/n-sichuanstv/n-sichuanstv
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.134.24.24/PLTV/88888888/224/3221225670/index.m3u8
西藏卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221226376/index.m3u8
西藏卫视,http://183.207.248.71:80/cntv/live1/n-xizangstv/n-xizangstv
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆兵团卫视,http://39.134.24.24/PLTV/88888888/224/3221225869/index.m3u8
新疆卫视,http://223.110.246.71/ott.js.chinamobile.com/PLTV/4/224/3221225844/index.m3u8
新疆卫视,http://39.134.24.24/PLTV/88888888/224/3221225790/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
新疆卫视,http://183.207.248.71:80/cntv/live1/n-xjtv1/n-xjtv1
延边卫视,http://183.207.248.71:80/cntv/live1/SD-4000k-576P-yanbianstv/SD-4000k-576P-yanbianstv
云南卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
